"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.281540616E2,4.301846763E1,1.381891610E1,1.125155996E2,1.566962280E2,1.200000048E0,2.748999939E2,1.883762657E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.291558022E2,4.301846351E1,1.381890123E1,1.115219466E2,1.557026367E2,1.190000057E0,2.632000122E2,1.896836570E-1,3.790092468E0,3.000000000E0,2.500000000E1
1.301510524E2,4.301845835E1,1.381888678E1,1.114680501E2,1.556488037E2,1.429999948E0,2.441000061E2,1.909027754E-1,3.790092468E0,3.000000000E0,2.500000000E1
1.311529796E2,4.301845446E1,1.381887276E1,1.114289295E2,1.556097412E2,1.950000048E0,2.396000061E2,1.921511421E-1,3.790092468E0,3.000000000E0,2.700000000E1
1.321535763E2,4.301845629E1,1.381885761E1,1.112482827E2,1.554291382E2,1.309999943E0,2.932000122E2,1.935351263E-1,3.790092468E0,3.000000000E0,2.600000000E1
1.331559956E2,4.301845843E1,1.381884084E1,1.112769822E2,1.554578857E2,1.330000043E0,2.841000061E2,1.950065207E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.341620933E2,4.301845940E1,1.381882279E1,1.108065893E2,1.549875488E2,1.250000000E0,2.818999939E2,1.962730676E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.351504576E2,4.301845531E1,1.381880825E1,1.111332501E2,1.553142700E2,1.200000048E0,2.587999878E2,1.974755107E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.361481748E2,4.301845278E1,1.381879387E1,1.110662395E2,1.552473145E2,1.250000000E0,2.602000122E2,1.986205031E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.371577304E2,4.301845254E1,1.381877979E1,1.114269716E2,1.556080933E2,1.299999952E0,2.822999878E2,1.999206540E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.381534353E2,4.301845093E1,1.381876395E1,1.110580793E2,1.552392578E2,1.299999952E0,2.567000122E2,2.012267842E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.391588966E2,4.301844700E1,1.381874881E1,1.107698094E2,1.549510498E2,1.299999952E0,2.622000122E2,2.024956483E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.401540064E2,4.301844289E1,1.381873425E1,1.115257913E2,1.557070923E2,1.309999943E0,2.651000061E2,2.038986960E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.411508209E2,4.301843854E1,1.381871805E1,1.120668623E2,1.562482300E2,1.299999952E0,2.652000122E2,2.053578511E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.421484614E2,4.301843277E1,1.381870193E1,1.120190009E2,1.562004395E2,1.320000052E0,2.563999939E2,2.066311248E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.431525861E2,4.301843029E1,1.381868664E1,1.116673195E2,1.558488159E2,1.340000033E0,2.618999939E2,2.079985875E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.441461174E2,4.301842986E1,1.381866983E1,1.110655786E2,1.552471313E2,1.519999981E0,2.493999939E2,2.094559731E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.451498899E2,4.301842930E1,1.381865192E1,1.107414827E2,1.549230957E2,1.399999976E0,2.690000000E2,2.109923065E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.461537478E2,4.301843139E1,1.381863324E1,1.106699560E2,1.548516235E2,1.379999995E0,2.833999939E2,2.124747445E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.471573718E2,4.301843221E1,1.381861504E1,1.106228410E2,1.548045654E2,1.350000024E0,2.723999939E2,2.138583143E-1,3.790092468E0,4.000000000E0,2.300000000E1
1.481499374E2,4.301843118E1,1.381859808E1,1.110726114E2,1.552543945E2,1.350000024E0,2.672000122E2,2.155480771E-1,3.790092468E0,4.000000000E0,2.300000000E1
